Code,Days to Trade,FlowUS$m,Name,Shares to Trade,Status,days,effective_date,profit,relative_profit
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,0,2020/8/31,100,0
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,1,2020/8/31,95.69620253,-5.362669714
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,2,2020/8/31,88.60759494,-10.99606741
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,3,2020/8/31,84.81012658,-14.82377048
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,4,2020/8/31,86.70886076,-12.95921467
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,5,2020/8/31,79.11392405,-20.74739063
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,6,2020/8/31,69.36708861,-29.00878146
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,7,2020/8/31,61.39240506,-36.5496626
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,8,2020/8/31,67.59493671,-31.31529906
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,9,2020/8/31,70.25316456,-29.08495813
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,10,2020/8/31,74.05063291,-26.59678432
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,11,2020/8/31,75.94936709,-23.50114986
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,12,2020/8/31,76.4556962,-22.57153476
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,13,2020/8/31,75.56962025,-22.98437171
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,14,2020/8/31,75.82278481,-23.14857766
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,15,2020/8/31,75.3164557,-23.04363974
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,16,2020/8/31,82.27848101,-16.36555782
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,17,2020/8/31,87.34177215,-11.85043518
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,18,2020/8/31,90.25316456,-9.104676422
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,19,2020/8/31,87.97468354,-10.87311096
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,20,2020/8/31,86.58227848,-12.32598545
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,21,2020/8/31,45.75949367,-54.82679686
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,22,2020/8/31,47.15189873,-52.65091835
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,23,2020/8/31,47.53164557,-52.71614762
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,24,2020/8/31,50.50632911,-49.61329519
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,25,2020/8/31,50.50632911,-49.00202816
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,26,2020/8/31,50.88607595,-47.9577749
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,27,2020/8/31,51.4556962,-48.32608804
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,28,2020/8/31,51.4556962,-47.85679271
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,29,2020/8/31,46.32911392,-51.76281275
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-1,2020/8/31,91.60305344,-8.645397036
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-2,2020/8/31,93.89312977,-8.29888695
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-3,2020/8/31,93.89312977,-7.957103233
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-4,2020/8/31,94.65648855,-7.547359146
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-5,2020/8/31,100,-3.099058123
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-6,2020/8/31,102.2900763,-1.370295814
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-7,2020/8/31,100.7633588,-2.782647281
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-8,2020/8/31,101.5267176,-2.181635768
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-9,2020/8/31,104.5801527,1.996399229
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-10,2020/8/31,106.870229,4.03342416
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-11,2020/8/31,116.7938931,13.17953033
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-12,2020/8/31,110.6870229,8.372752773
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-13,2020/8/31,110.6870229,7.840358907
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-14,2020/8/31,109.9236641,6.622164875
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-15,2020/8/31,110.6870229,6.95960856
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-16,2020/8/31,109.9236641,5.510710519
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-17,2020/8/31,110.6870229,7.617542215
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-18,2020/8/31,115.2671756,11.68436204
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-19,2020/8/31,122.1374046,18.77346408
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-20,2020/8/31,119.8473282,14.4366291
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-21,2020/8/31,122.1374046,16.22257445
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-22,2020/8/31,120.610687,14.7931338
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-23,2020/8/31,125.9541985,21.34997744
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-24,2020/8/31,125.9541985,21.47288813
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-25,2020/8/31,122.1374046,16.55121264
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-26,2020/8/31,121.3740458,17.06559914
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-27,2020/8/31,122.9007634,18.00405434
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-28,2020/8/31,127.480916,23.01012211
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-29,2020/8/31,122.9007634,17.97776329
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-30,2020/8/31,127.480916,24.61716285
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-31,2020/8/31,128.2442748,24.0291614
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-32,2020/8/31,132.0610687,26.97900775
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-33,2020/8/31,135.1145038,29.5276546
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-34,2020/8/31,133.5877863,28.95990328
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-35,2020/8/31,135.8778626,31.81458003
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-36,2020/8/31,134.351145,30.27143056
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-37,2020/8/31,138.9312977,35.95449299
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-38,2020/8/31,135.8778626,32.23195053
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-39,2020/8/31,133.5877863,31.53576941
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-40,2020/8/31,135.1145038,34.1384484
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-41,2020/8/31,138.1679389,38.6280324
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-42,2020/8/31,139.6946565,41.03944396
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-43,2020/8/31,140.4580153,42.23266149
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-44,2020/8/31,137.4045802,38.64025974
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-45,2020/8/31,134.351145,35.29696575
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-46,2020/8/31,138.1679389,38.83770356
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-47,2020/8/31,145.0381679,45.96952857
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-48,2020/8/31,147.3282443,48.41406485
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-49,2020/8/31,145.0381679,44.71675979
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-50,2020/8/31,148.8549618,49.09946864
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-51,2020/8/31,148.8549618,50.34040645
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-52,2020/8/31,154.1984733,52.58223067
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-53,2020/8/31,151.1450382,48.79067418
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-54,2020/8/31,148.8549618,45.31618581
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-55,2020/8/31,146.5648855,43.03333952
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-56,2020/8/31,148.8549618,46.56106727
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-57,2020/8/31,148.0916031,45.43554921
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-58,2020/8/31,146.5648855,45.44094289
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,-59,2020/8/31,148.8549618,49.75805958
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,0,2020/8/31,100,0
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,1,2020/8/31,104.5801527,3.521280427
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,2,2020/8/31,100.7633588,1.159696435
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,3,2020/8/31,100,0.366102943
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,4,2020/8/31,102.2900763,2.622000907
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,5,2020/8/31,103.0534351,3.19212043
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,6,2020/8/31,100.7633588,2.387488709
3336.KL,-3.3,-17,IJM Corporation Bhd,-11358679,Delete,7,2020/8/31,100.7633588,2.821291119
